-1,44.99,43.69,45,45,44.46,40.1,0,-3.8,0,0,-6.28,-2.05,-1.25,-1.053,-1.017,-1.001,-1.218,-1.426,134.97,130.15,125.5,120.54,116.21,113.46,-8.62,-8.69,-9.86,-9.49,-7.8,-4.73,-10.72,3.8,0.41,4.54,7.06,-3.93,-11.804,-11.757,-11.737,-11.722,-11.705,-11.699,3.987,1.707,-0.569,-3.07,-5.596,-6.588,-3.78,-4.74,-5,-5,-4.46,-0.1,2.58,6.84,0,0,6.28,2.05,-11.528,-11.045,-10.945,-11.119,-11.287,-11.309,-59.441,-62.244,-64.689,-67.186,-69.829,-71.105,-5.15,-5.03,-5.05,-5,-5.48,0.29,-1.34,5.57,0.62,0,3.32,6.53
1,40.01,39.9,41.75,42.03,41.53,40.23,0.22,-0.28,3.87,-3.31,1.01,-0.34,0.654,2.628,4.771,6.054,6.864,7.562,69.356,66.186,62.415,57.732,53.895,50.47,-6.09,-6.65,-8.75,-8.53,-7.54,-4.57,0.89,-1.18,-3.87,6.23,-1.23,9.66,-11.808,-10.482,-8.204,-5.717,-3.898,-2.919,26.018,28.52,30.609,33.187,36.528,41.5,4.99,5.03,4.67,5.46,8.53,10.85,-0.22,-1.3,7.24,3.4,6.27,0.34,-11.784,-10.46,-7.96,-6.117,-4.945,-4.203,-48.125,-44.878,-42.109,-40.576,-38.83,-37.119,6.44,6.6,3.82,3.47,3.05,4.47,0.54,0.07,-5.01,3.09,-2.17,2.14
-1,46.41,46.62,45.42,43.26,37.54,40.49,6.04,4.64,-9.76,-1.52,11.2,-4.52,-2.955,-1.233,1.24,2.121,1.539,0.111,59.121,58.183,55.343,54.105,57.004,59.497,-1.14,-3.98,-4.07,1.17,8.3,4.64,-6.04,-15.84,-1.44,12.72,-9.79,2.47,-13.518,-12.582,-11.021,-11.297,-11.574,-12.478,132.32,131.24,129.84,130.4,132.23,134.32,-2.73,-1.3,-1.28,0.61,7.45,4.5,-1.96,-4.68,15.3,-8.74,-11.2,4.52,-13.39,-11.297,-9.765,-10.128,-10.554,-11.89,-27.56,-33.337,-38.749,-42.039,-43.655,-45.595,-10.21,-11.61,-7.78,-6.2,-0.07,-5.21,-8.42,-3.65,10.37,1.69,-6.89,0.63
1,39.92,40.92,43.43,45.27,49.22,50.5,1.69,6.83,6.55,2.97,6.67,6.28,1.697,1.714,1.721,1.719,2.727,5.255,45.031,44.991,43.864,41.528,38.014,33.124,0.08,-0.92,-3.43,-5.27,-9.2,-10.22,-1.69,-6.83,-6.55,-2.97,-6.36,-5.27,-10.04,-9.81,-9.694,-9.709,-8.628,-5.782,202.68,206.59,207.89,209.35,210.59,211.6,9.84,5.01,1.79,3.94,1.05,1.93,-5.81,-13.02,1.07,0.09,0.12,-7.92,-5.511,-5.642,-5.832,-5.888,-4.896,-2.367,-58.822,-58.414,-57.482,-57.529,-58.541,-60.994,1.15,1.57,0.78,-0.27,-4.22,-5.5,-6.21,1.74,-8.99,-2.97,-6.67,-6.28
-1,37.42,39.08,39.29,40.37,41.08,39.46,1.23,7.01,-6.48,2.45,0.18,-4.41,1.328,1.84,1.976,0.692,1.245,1.835,123.73,123.86,123.4,124.05,124.11,123.95,1.97,-1.69,1.42,0.37,0.14,-0.71,-3.85,-5.43,7.22,-1.9,-2.72,-6.53,-10.977,-11.232,-10.99,-11.032,-10.068,-9.427,32.471,29.908,27.418,23.323,17.85,13.234,-6.82,-4.54,-5.64,-10.42,-10.96,-6.03,5.5,-1.85,-4.37,-2.26,2.37,15.61,-11.973,-11.977,-12.02,-12.219,-11.431,-10.387,-28.823,-30.331,-32.815,-34.929,-37.873,-40.931,-3.06,-4.08,-4.29,-5.37,-6.5,-4.47,-1.01,-7.01,6.48,-2.45,-3.97,4.41
1,49.75,53.78,54.97,55.17,54.98,57.59,-2.11,10.59,-0.05,0.29,-0.19,10.91,3.962,4.61,6.442,7.838,7.586,7.79,87.519,84.579,79.612,75.472,71.264,65.964,-4.75,-8.78,-9.62,-7.55,-9.64,-12.63,2.11,-10.59,3.28,-0.79,-3.06,-10.53,-9.513,-8.896,-7.134,-5.934,-6.052,-5.632,81.937,83.998,84.139,85.245,85.583,85.496,5.25,1.21,1.31,1.72,0.8,-2.6,2.11,-10.71,5.83,-5.72,1.81,-10.5,-8.205,-7.763,-5.968,-4.388,-4.328,-4.398,-47.372,-50.369,-55.479,-60.631,-67.517,-74.889,-4.76,-9.27,-9.96,-11.84,-14.92,-14.82,2.15,-12.01,0.32,-8.54,-1.42,-2.73
-1,39,41.67,42.18,40.43,44.48,44.13,6.79,7.8,1.18,-2.43,6.21,11.2,0.467,-0.741,0.03,0.71,1.183,1.262,75.627,75.325,73.634,72.856,74.541,76.113,0.93,-3.5,-2.19,1.4,2.53,1.56,-5.14,-13.17,-1.14,13.63,-5.96,-19.34,-10.805,-12.023,-11.421,-10.739,-10.233,-10.021,71.488,69.338,66.494,64.389,63.034,59.521,-2.37,-5.24,-4.6,-2.57,-5.82,-7.94,-15.16,-7.88,-0.57,6.8,-17.12,-13.6,-10.819,-11.81,-11.645,-12.152,-12.132,-12.32,-12.373,-13.945,-15.886,-18.246,-20.406,-22.425,-3.29,-3.46,-3.89,-4.11,-5.75,-4.12,0.14,-4.69,-3.75,5.58,-2.21,-11.44
1,59.53,57.09,59.95,56.25,56.51,56.61,1.7,-6.41,2.01,-9.58,0.56,1.09,-0.194,0.203,0.461,0.327,1.973,4.041,83.382,80.875,79.387,77.894,78.514,79.266,-6.87,-2.07,-4.08,-0.64,1.09,0.66,-1.8,6.33,3.53,14.36,0.79,-5.34,-6.448,-6.194,-6.094,-6.12,-4.364,-2.303,195.02,193.45,191.27,186.95,184.03,180.78,-2.45,-2.19,-8.28,-6.27,-6.51,-6.68,-4.6,4.88,-10.27,9.83,-0.56,-2.69,-8.747,-8.847,-9.188,-9.659,-8.44,-5.476,-31.713,-39.2,-46.707,-56.208,-63.448,-70.026,-18.07,-12.27,-19.41,-15.88,-14.24,-12.48,8.96,4.84,-8.55,13.79,4.35,2.66
-1,35.33,35.71,38.21,38.29,36.32,38.73,-1.92,6.93,3.11,-2.57,3.15,4,0.07,0.014,-0.213,0.224,1.413,1.899,81.769,83.861,83.283,82.38,82.635,83.44,4.48,0.92,-1.78,-0.71,1.54,-0.07,2.18,-15.3,-3.19,3.18,1.22,-14.91,-13.005,-12.231,-12.388,-12.636,-12.341,-12.331,32.439,27.233,10.389,11.688,28.118,35.873,-1.46,-24.43,-35.45,52.11,-4.31,34.88,-9.28,-18.13,8.09,13.77,-14.35,-15.2,-12.96,-12.603,-12.169,-10.972,-9.294,-8.985,-15.351,-17.618,-21.375,-25.675,-29.075,-30.095,-5.34,-5.72,-8.63,-8.36,-4.28,-1.85,1.92,-6.93,0.12,2.57,8.05,-6.9
1,44.06,45.01,43.38,46.79,50.31,49.05,7.1,0.26,-4.6,9.61,7.69,-11.2,2.62,2.57,2.371,3.066,4.249,5.217,64.99,62.566,62.239,61.652,57.3,52.546,-4.06,-3.55,1.44,-6.25,-9.94,-6.78,-7.1,10.4,3.03,-16.15,-3.48,16.11,-9.335,-10.03,-10.23,-9.492,-8.432,-7.615,24.537,28.607,32.127,37.963,41.744,43.625,9.59,6.69,9.37,11.05,3.85,6.29,-6.77,-4.9,12.89,-9.71,-9.37,13.84,-7.971,-8.058,-8.121,-7.215,-5.782,-4.484,-73.017,-68.054,-62.857,-57.467,-54.252,-53.059,10.71,9.99,11.62,8.21,4.31,3.03,-7.73,-0.26,4.6,-9.61,-12.1,6.58
